time,key,value,region,tags,price_value,node_name,day
2024-05-13 01:00:00.000 +0800,node_price_real_time,"{""value"": 400.0}",cn-shanxi,"{""node_name"": ""山西.兆光电厂/220kV.东母线""}",400.0,山西.兆光电厂/220kV.东母线,2024-05-13
2024-05-13 01:00:00.000 +0800,node_price_real_time,"{""value"": 400.0}",cn-shanxi,"{""node_name"": ""山西.冶峪站/220kV.B母线""}",400.0,山西.冶峪站/220kV.B母线,2024-05-13
2024-05-13 01:00:00.000 +0800,node_price_real_time,"{""value"": 400.0}",cn-shanxi,"{""node_name"": ""山西.古交发电厂/220kV.外母线""}",400.0,山西.古交发电厂/220kV.外母线,2024-05-13
2024-05-13 01:00:00.000 +0800,node_price_real_time,"{""value"": 400.0}",cn-shanxi,"{""node_name"": ""山西.开源路站/220kV.北母线""}",400.0,山西.开源路站/220kV.北母线,2024-05-13
2024-05-13 01:00:00.000 +0800,node_price_real_time,"{""value"": 400.0}",cn-shanxi,"{""node_name"": ""山西.彤欧光伏电站/220kV.A母线""}",400.0,山西.彤欧光伏电站/220kV.A母线,2024-05-13
2024-05-13 01:00:00.000 +0800,node_price_real_time,"{""value"": 400.0}",cn-shanxi,"{""node_name"": ""山西.海会站/220kV.D母线""}",400.0,山西.海会站/220kV.D母线,2024-05-13
2024-05-13 01:00:00.000 +0800,node_price_real_time,"{""value"": 400.0}",cn-shanxi,"{""node_name"": ""山西.温池站/220kV.南母线""}",400.0,山西.温池站/220kV.南母线,2024-05-13
2024-05-13 01:00:00.000 +0800,node_price_real_time,"{""value"": 400.0}",cn-shanxi,"{""node_name"": ""山西.瑶河风电场/220kV.A母线""}",400.0,山西.瑶河风电场/220kV.A母线,2024-05-13
2024-05-13 01:00:00.000 +0800,node_price_real_time,"{""value"": 400.0}",cn-shanxi,"{""node_name"": ""山西.禹王石光伏电站/220kV.A母线""}",400.0,山西.禹王石光伏电站/220kV.A母线,2024-05-13
2024-05-13 01:00:00.000 +0800,node_price_real_time,"{""value"": 400.0}",cn-shanxi,"{""node_name"": ""山西.细米河风电场/220kV.A母线""}",400.0,山西.细米河风电场/220kV.A母线,2024-05-13
2024-05-13 01:00:00.000 +0800,node_price_real_time,"{""value"": 400.0}",cn-shanxi,"{""node_name"": ""山西.翠微站/220kV.西母线""}",400.0,山西.翠微站/220kV.西母线,2024-05-13
2024-05-13 01:00:00.000 +0800,node_price_real_time,"{""value"": 400.0}",cn-shanxi,"{""node_name"": ""山西.邑垣光伏电站/220kV.A母线""}",400.0,山西.邑垣光伏电站/220kV.A母线,2024-05-13
2024-05-13 01:15:00.000 +0800,node_price_real_time,"{""value"": 390.0}",cn-shanxi,"{""node_name"": ""777008009""}",390.0,777008009,2024-05-13
2024-05-13 01:15:00.000 +0800,node_price_real_time,"{""value"": 390.0}",cn-shanxi,"{""node_name"": ""华北.武乡/500kV.2母线""}",390.0,华北.武乡/500kV.2母线,2024-05-13
2024-05-13 01:15:00.000 +0800,node_price_real_time,"{""value"": 390.0}",cn-shanxi,"{""node_name"": ""山西.云顶山站/220kV.B母线""}",390.0,山西.云顶山站/220kV.B母线,2024-05-13
2024-05-13 01:15:00.000 +0800,node_price_real_time,"{""value"": 390.0}",cn-shanxi,"{""node_name"": ""山西.兆光电厂/220kV.东母线""}",390.0,山西.兆光电厂/220kV.东母线,2024-05-13
2024-05-13 01:15:00.000 +0800,node_price_real_time,"{""value"": 390.0}",cn-shanxi,"{""node_name"": ""山西.冶峪站/220kV.B母线""}",390.0,山西.冶峪站/220kV.B母线,2024-05-13
2024-05-13 01:15:00.000 +0800,node_price_real_time,"{""value"": 390.0}",cn-shanxi,"{""node_name"": ""山西.古交发电厂/220kV.外母线""}",390.0,山西.古交发电厂/220kV.外母线,2024-05-13
2024-05-13 01:15:00.000 +0800,node_price_real_time,"{""value"": 390.0}",cn-shanxi,"{""node_name"": ""山西.开源路站/220kV.北母线""}",390.0,山西.开源路站/220kV.北母线,2024-05-13
2024-05-13 01:15:00.000 +0800,node_price_real_time,"{""value"": 390.0}",cn-shanxi,"{""node_name"": ""山西.彤欧光伏电站/220kV.A母线""}",390.0,山西.彤欧光伏电站/220kV.A母线,2024-05-13
2024-05-13 01:15:00.000 +0800,node_price_real_time,"{""value"": 390.0}",cn-shanxi,"{""node_name"": ""山西.海会站/220kV.D母线""}",390.0,山西.海会站/220kV.D母线,2024-05-13
2024-05-13 01:15:00.000 +0800,node_price_real_time,"{""value"": 390.0}",cn-shanxi,"{""node_name"": ""山西.温池站/220kV.南母线""}",390.0,山西.温池站/220kV.南母线,2024-05-13
2024-05-13 01:15:00.000 +0800,node_price_real_time,"{""value"": 390.0}",cn-shanxi,"{""node_name"": ""山西.瑶河风电场/220kV.A母线""}",390.0,山西.瑶河风电场/220kV.A母线,2024-05-13
2024-05-13 01:15:00.000 +0800,node_price_real_time,"{""value"": 390.0}",cn-shanxi,"{""node_name"": ""山西.禹王石光伏电站/220kV.A母线""}",390.0,山西.禹王石光伏电站/220kV.A母线,2024-05-13
2024-05-13 01:15:00.000 +0800,node_price_real_time,"{""value"": 390.0}",cn-shanxi,"{""node_name"": ""山西.细米河风电场/220kV.A母线""}",390.0,山西.细米河风电场/220kV.A母线,2024-05-13
2024-05-13 01:15:00.000 +0800,node_price_real_time,"{""value"": 390.0}",cn-shanxi,"{""node_name"": ""山西.翠微站/220kV.西母线""}",390.0,山西.翠微站/220kV.西母线,2024-05-13
2024-05-13 01:15:00.000 +0800,node_price_real_time,"{""value"": 390.0}",cn-shanxi,"{""node_name"": ""山西.邑垣光伏电站/220kV.A母线""}",390.0,山西.邑垣光伏电站/220kV.A母线,2024-05-13
2024-05-13 01:30:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""777008009""}",375.0,777008009,2024-05-13
2024-05-13 01:30:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""华北.武乡/500kV.2母线""}",375.0,华北.武乡/500kV.2母线,2024-05-13
2024-05-13 01:30:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""山西.云顶山站/220kV.B母线""}",375.0,山西.云顶山站/220kV.B母线,2024-05-13
2024-05-13 01:30:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""山西.兆光电厂/220kV.东母线""}",375.0,山西.兆光电厂/220kV.东母线,2024-05-13
2024-05-13 01:30:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""山西.冶峪站/220kV.B母线""}",375.0,山西.冶峪站/220kV.B母线,2024-05-13
2024-05-13 01:30:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""山西.古交发电厂/220kV.外母线""}",375.0,山西.古交发电厂/220kV.外母线,2024-05-13
2024-05-13 01:30:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""山西.开源路站/220kV.北母线""}",375.0,山西.开源路站/220kV.北母线,2024-05-13
2024-05-13 01:30:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""山西.彤欧光伏电站/220kV.A母线""}",375.0,山西.彤欧光伏电站/220kV.A母线,2024-05-13
2024-05-13 01:30:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""山西.海会站/220kV.D母线""}",375.0,山西.海会站/220kV.D母线,2024-05-13
2024-05-13 01:30:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""山西.温池站/220kV.南母线""}",375.0,山西.温池站/220kV.南母线,2024-05-13
2024-05-13 01:30:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""山西.瑶河风电场/220kV.A母线""}",375.0,山西.瑶河风电场/220kV.A母线,2024-05-13
2024-05-13 01:30:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""山西.禹王石光伏电站/220kV.A母线""}",375.0,山西.禹王石光伏电站/220kV.A母线,2024-05-13
2024-05-13 01:30:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""山西.细米河风电场/220kV.A母线""}",375.0,山西.细米河风电场/220kV.A母线,2024-05-13
2024-05-13 01:30:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""山西.翠微站/220kV.西母线""}",375.0,山西.翠微站/220kV.西母线,2024-05-13
2024-05-13 01:30:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""山西.邑垣光伏电站/220kV.A母线""}",375.0,山西.邑垣光伏电站/220kV.A母线,2024-05-13
2024-05-13 01:45:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""777008009""}",375.0,777008009,2024-05-13
2024-05-13 01:45:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""华北.武乡/500kV.2母线""}",375.0,华北.武乡/500kV.2母线,2024-05-13
2024-05-13 01:45:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""山西.云顶山站/220kV.B母线""}",375.0,山西.云顶山站/220kV.B母线,2024-05-13
2024-05-13 01:45:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""山西.兆光电厂/220kV.东母线""}",375.0,山西.兆光电厂/220kV.东母线,2024-05-13
2024-05-13 01:45:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""山西.冶峪站/220kV.B母线""}",375.0,山西.冶峪站/220kV.B母线,2024-05-13
2024-05-13 01:45:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""山西.古交发电厂/220kV.外母线""}",375.0,山西.古交发电厂/220kV.外母线,2024-05-13
2024-05-13 01:45:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""山西.开源路站/220kV.北母线""}",375.0,山西.开源路站/220kV.北母线,2024-05-13
2024-05-13 01:45:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""山西.彤欧光伏电站/220kV.A母线""}",375.0,山西.彤欧光伏电站/220kV.A母线,2024-05-13
2024-05-13 01:45:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""山西.海会站/220kV.D母线""}",375.0,山西.海会站/220kV.D母线,2024-05-13
2024-05-13 01:45:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""山西.温池站/220kV.南母线""}",375.0,山西.温池站/220kV.南母线,2024-05-13
2024-05-13 01:45:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""山西.瑶河风电场/220kV.A母线""}",375.0,山西.瑶河风电场/220kV.A母线,2024-05-13
2024-05-13 01:45:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""山西.禹王石光伏电站/220kV.A母线""}",375.0,山西.禹王石光伏电站/220kV.A母线,2024-05-13
2024-05-13 01:45:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""山西.细米河风电场/220kV.A母线""}",375.0,山西.细米河风电场/220kV.A母线,2024-05-13
2024-05-13 01:45:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""山西.翠微站/220kV.西母线""}",375.0,山西.翠微站/220kV.西母线,2024-05-13
2024-05-13 01:45:00.000 +0800,node_price_real_time,"{""value"": 375.0}",cn-shanxi,"{""node_name"": ""山西.邑垣光伏电站/220kV.A母线""}",375.0,山西.邑垣光伏电站/220kV.A母线,2024-05-13
2024-05-13 02:00:00.000 +0800,node_price_real_time,"{""value"": 370.0}",cn-shanxi,"{""node_name"": ""777008009""}",370.0,777008009,2024-05-13
2024-05-13 02:00:00.000 +0800,node_price_real_time,"{""value"": 370.0}",cn-shanxi,"{""node_name"": ""华北.武乡/500kV.2母线""}",370.0,华北.武乡/500kV.2母线,2024-05-13
2024-05-13 02:00:00.000 +0800,node_price_real_time,"{""value"": 370.0}",cn-shanxi,"{""node_name"": ""山西.云顶山站/220kV.B母线""}",370.0,山西.云顶山站/220kV.B母线,2024-05-13
2024-05-13 02:00:00.000 +0800,node_price_real_time,"{""value"": 370.0}",cn-shanxi,"{""node_name"": ""山西.兆光电厂/220kV.东母线""}",370.0,山西.兆光电厂/220kV.东母线,2024-05-13
2024-05-13 02:00:00.000 +0800,node_price_real_time,"{""value"": 370.0}",cn-shanxi,"{""node_name"": ""山西.冶峪站/220kV.B母线""}",370.0,山西.冶峪站/220kV.B母线,2024-05-13
2024-05-13 02:00:00.000 +0800,node_price_real_time,"{""value"": 370.0}",cn-shanxi,"{""node_name"": ""山西.古交发电厂/220kV.外母线""}",370.0,山西.古交发电厂/220kV.外母线,2024-05-13
2024-05-13 02:00:00.000 +0800,node_price_real_time,"{""value"": 370.0}",cn-shanxi,"{""node_name"": ""山西.开源路站/220kV.北母线""}",370.0,山西.开源路站/220kV.北母线,2024-05-13
2024-05-13 02:00:00.000 +0800,node_price_real_time,"{""value"": 370.0}",cn-shanxi,"{""node_name"": ""山西.彤欧光伏电站/220kV.A母线""}",370.0,山西.彤欧光伏电站/220kV.A母线,2024-05-13
2024-05-13 02:00:00.000 +0800,node_price_real_time,"{""value"": 370.0}",cn-shanxi,"{""node_name"": ""山西.海会站/220kV.D母线""}",370.0,山西.海会站/220kV.D母线,2024-05-13
2024-05-13 02:00:00.000 +0800,node_price_real_time,"{""value"": 370.0}",cn-shanxi,"{""node_name"": ""山西.温池站/220kV.南母线""}",370.0,山西.温池站/220kV.南母线,2024-05-13
2024-05-13 02:00:00.000 +0800,node_price_real_time,"{""value"": 370.0}",cn-shanxi,"{""node_name"": ""山西.瑶河风电场/220kV.A母线""}",370.0,山西.瑶河风电场/220kV.A母线,2024-05-13
2024-05-13 02:00:00.000 +0800,node_price_real_time,"{""value"": 370.0}",cn-shanxi,"{""node_name"": ""山西.禹王石光伏电站/220kV.A母线""}",370.0,山西.禹王石光伏电站/220kV.A母线,2024-05-13
2024-05-13 02:00:00.000 +0800,node_price_real_time,"{""value"": 370.0}",cn-shanxi,"{""node_name"": ""山西.细米河风电场/220kV.A母线""}",370.0,山西.细米河风电场/220kV.A母线,2024-05-13
2024-05-13 02:00:00.000 +0800,node_price_real_time,"{""value"": 370.0}",cn-shanxi,"{""node_name"": ""山西.翠微站/220kV.西母线""}",370.0,山西.翠微站/220kV.西母线,2024-05-13
